ID,DATE,TIME,VMAX,PER
AL101985,850924,12,35,-5
AL101985,850924,18,35,0
AL101985,850925,0,30,-5
AL111985,851007,0,30,0
AL111985,851007,6,35,0
AL111985,851007,12,40,0
AL111985,851007,18,40,0
AL111985,851008,0,45,5
AL111985,851008,6,50,10
AL111985,851008,12,55,10
AL111985,851008,18,60,10
AL111985,851009,0,60,5
AL111985,851009,6,60,0
AL111985,851009,12,60,0
AL111985,851009,18,60,0
AL111985,851010,0,55,-5
AL111985,851010,6,45,-15
AL111985,851010,12,40,-15
AL111985,851010,18,35,-10
AL111985,851011,0,30,-10
AL111985,851011,6,30,0
AL111985,851011,12,25,0
AL111985,851011,18,25,0
AL111985,851012,0,25,0
AL111985,851012,6,25,0
AL111985,851012,12,25,0
AL111985,851012,18,25,0
AL111985,851013,0,25,0
AL111985,851013,6,25,0
AL111985,851013,12,25,0
AL111985,851013,18,25,0
AL111985,851014,0,25,0
AL111985,851014,6,25,0
AL111985,851014,12,25,0
AL111985,851014,18,25,0
AL111985,851015,0,25,0
AL111985,851015,6,25,0
AL111985,851015,12,25,0
AL121985,851026,0,30,0
AL121985,851026,6,30,0
AL121985,851026,12,35,5
AL121985,851026,18,40,10
AL121985,851027,0,45,10
AL121985,851027,6,50,10
AL121985,851027,12,55,10
AL121985,851027,18,60,10
AL121985,851028,0,65,10
AL121985,851028,6,70,10
AL121985,851028,12,75,10
AL121985,851028,18,75,5
AL121985,851029,0,75,0
AL121985,851029,6,70,-5
AL121985,851029,12,65,-10
AL121985,851029,18,60,0
AL121985,851030,0,60,0
AL121985,851030,6,55,0
AL121985,851030,12,55,0
AL121985,851030,18,55,0
AL121985,851031,0,55,0
AL121985,851031,6,55,0
AL121985,851031,12,60,5
AL121985,851031,18,55,0
AL121985,851101,0,40,0
AL121985,851101,6,35,0
AL131985,851115,18,35,0
AL131985,851116,0,45,0
AL131985,851116,6,50,15
AL131985,851116,12,55,10
AL131985,851116,18,70,20
AL131985,851117,0,75,20
AL131985,851117,6,75,5
AL131985,851117,12,75,0
AL131985,851117,18,80,5
AL131985,851118,0,80,5
AL131985,851118,6,80,0
AL131985,851118,12,80,0
AL131985,851118,18,85,5
AL131985,851119,0,95,15
AL131985,851119,6,95,10
AL131985,851119,12,90,-5
AL131985,851119,18,80,-15
AL131985,851120,0,85,-5
AL131985,851120,6,95,15
AL131985,851120,12,105,20
AL131985,851120,18,105,10
AL131985,851121,0,105,0
AL131985,851121,6,100,-5
AL131985,851121,12,95,-10
AL131985,851121,18,85,-15
AL131985,851122,0,80,0
AL131985,851122,6,65,0
AL131985,851122,12,50,0
AL131985,851122,18,45,0
AL131985,851123,0,40,0
AL131985,851123,6,35,-10
AL131985,851123,12,35,-5
AL011986,860605,0,30,0
AL011986,860605,6,30,0
AL011986,860605,12,30,0
AL011986,860605,18,30,0
AL011986,860606,0,35,5
AL011986,860606,6,40,10
AL011986,860606,12,45,10
AL011986,860606,18,45,5
AL011986,860607,0,45,0
AL011986,860607,6,45,0
AL011986,860607,12,45,0
AL011986,860607,18,45,0
AL011986,860608,0,45,0
AL011986,860608,6,45,0
AL011986,860608,12,40,-5
AL011986,860608,18,35,-10
AL021986,860623,18,25,0
AL021986,860624,0,25,0
AL021986,860624,6,25,0
AL021986,860624,12,30,5
AL021986,860624,18,40,15
AL021986,860625,0,45,15
AL021986,860625,6,50,10
AL021986,860625,12,55,10
AL021986,860625,18,65,15
AL021986,860626,0,70,15
AL021986,860626,6,75,10
AL021986,860626,12,65,-5
AL021986,860626,18,35,0
AL021986,860627,0,30,0
AL021986,860627,6,25,0
AL021986,860627,12,20,0
AL021986,860627,18,20,0
AL021986,860628,0,15,0
AL021986,860628,6,10,0
AL021986,860628,12,10,0
AL051986,860813,12,10,0
AL051986,860813,18,10,0
AL051986,860814,0,10,0
AL051986,860814,6,10,0
AL051986,860814,12,10,0
AL051986,860814,18,10,0
AL051986,860815,0,15,0
AL051986,860815,6,15,0
AL051986,860815,12,30,0
AL051986,860815,18,35,20
AL051986,860816,0,40,10
AL051986,860816,6,40,5
AL051986,860816,12,45,5
AL051986,860816,18,50,10
AL051986,860817,0,55,10
AL051986,860817,6,60,10
AL051986,860817,12,65,10
AL051986,860817,18,65,5
AL051986,860818,0,70,5
AL051986,860818,6,65,0
AL051986,860818,12,60,-10
AL051986,860818,18,60,-5
AL051986,860819,0,55,-5
AL051986,860819,6,50,-10
AL051986,860819,12,45,-10
AL051986,860819,18,45,-5
AL051986,860820,0,40,-5
AL051986,860820,6,40,-5
AL051986,860820,12,40,0
AL051986,860820,18,40,0
AL081986,860907,6,25,0
AL081986,860907,12,30,0
AL081986,860907,18,35,10
